"country","total_tansactions","total_customers"
"United Kingdom","$6,767,873.39",3950
"Netherlands","$284,661.54",9
"EIRE","$250,285.22",3
"Germany","$221,698.21",95
"France","$196,712.84",87
"Australia","$137,077.27",9
"Switzerland","$55,739.40",21
"Spain","$54,774.58",31
"Belgium","$40,910.96",25
"Sweden","$36,595.91",8
"Japan","$35,340.62",8
"Norway","$35,163.46",10
"Portugal","$29,059.81",19
"Finland","$22,326.74",12
"Channel Islands","$20,086.29",9
"Denmark","$18,768.14",9
"Italy","$16,890.51",15
"Cyprus","$12,946.29",8
"Austria","$10,154.32",11
"Singapore","$9,120.39",1
"Poland","$7,213.14",6
"Israel","$6,994.25",4
"Greece","$4,710.52",4
"Iceland","$4,310.00",1
"Canada","$3,666.38",4
"Unspecified","$2,667.07",4
"Malta","$2,505.47",2
"United Arab Emirates","$1,902.28",2
"USA","$1,730.92",4
"Lebanon","$1,693.88",1
"Lithuania","$1,661.06",1
"European Community","$1,291.75",1
"Brazil","$1,143.60",1
"RSA","$1,002.31",1
"Czech Republic","$707.72",1
"Bahrain","$548.40",2
"Saudi Arabia","$131.17",1
